Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on March 25, 2014",KWR,yes,yes,Towel fell apart with first wash.,"I was excited to receive these, and immediately put them into the washer and then dryer before first use. Imagine my disappointment when I took the towels out of the dryer, and one had unraveled! You can see for yourself what happened in the product images. It fell apart before I could even use it.",1,https://images-na.ssl-images-amazon.com/images/I/51PARLTOnVL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3APE8GUFVXFA6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZDU,Size: 6-Piece Set | Color: White
"Reviewed in the United States on February 8, 2015",MariamG,yes,yes,"Pinzon in Plum, Pretty and Plush!  See Photos and Links.......","***Updated review.I purchased these towels in spite of the mixed reviews and pictures of damaged towels... One reason being the low $21.99 price point for the set of 6 towels, another being the slightly larger bath towels at 30""x 56"" (standard is 27x54).Also, I read reviews stating that the plum is slightly lighter than pictured and this is what I was hoping for. I figured they were worth a risk as I noticed the reviewers who noted the plum color didn't seem to have as many negative reviews.They arrived quickly and my husband and I both agreed that they appear to be thick and beautiful. That said, I can't yet comment on quality, in terms of longevity, but will be updating this review after a few months of use and numerous washes.I am very particular about how I launder clothing and the likes, so my findings will only really apply for others who do the same... I don't wash towels with jeans or other articles with zippers or anything that could snag them (or that the towels would wear down).I use Perwoll detergent for darks which preserves and renews dark colors beautifully (sold here on Amazon, pricey but a little goes a long way and its worth it) and I don't use detergents with regular fillers which buildup on clothes.     Lastly, I use wool dryer balls and do not use fabric softener (which especially shouldn't be used with towels since it leaves a coating on them, making them less absorbent).     I uploaded some pictures so you can see the plum. I laid out a couple of purple cardigans next to them that are more of a true purple or plum, for comparison. These are a slightly smokey plum (more plum than gray, just a touch more muted shade). Very plush, especially for under $22, and much prettier than expected!Definitely recommend, at the very least, for towels on display getting little use. No snags or poor quality apprearance upon arrival - from Pinzon seller via Amazon, in Plum.Happy shopping! Smile.*UPDATE* After first wash, no more dryer lint than with any other new towel set I've purchased. No fuzzies sticking to wet skin or shedding. Color and overall look is as good as new... More to come if anything changes...After a month of use, a number of washes and dryings, we are super happy with this set!  We will be ordering another set while we can (noticed the seperates in plum are no longer available and the HUGE bath mat in plum is now also gone- very plush!).  I do recommend it though, (still available in other colors) see my review with photos here: http://www.amazon.com/review/R1ESKH88D6JLD7/ref=cm_cr_pr_perm?ie=UTF8&ASIN=B000T2T8RKHope this helps!",5,"https://images-na.ssl-images-amazon.com/images/I/61TUbsldeJL.jpg , https://images-na.ssl-images-amazon.com/images/I/710MFJjtz1L.jpg , https://images-na.ssl-images-amazon.com/images/I/711zeW1fOeL.jpg",-,https://www.amazon.com/gp/customer-reviews/R18YTP2STB99CN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B007K6SOTQ,Size: 6-Piece Set | Color: Plum
"Reviewed in the United States on May 28, 2014",PJD,yes,yes,Shedding & snags galore,"It's a shame the driftwood sets that I bought (6) did not look as good after they were initially laundered as they did before they were washed !I'll post the pic of the lint filter from my dryer on the first drying cycle. Then I ran the load through the air only cycle for 20 minutes and again a full lint filter, then ran them again on air only for 20 min.and again a full lint filter. I was afraid at that point that if I continued to dry them I would eventually end up with a nothing load !Snags: every item had between 12 & 16 snags after laundering. More on the bath towels and hand towels. Several so bad that the backing of the towel is thread bare. Will post pics. There is no excuse for this !I have not used them so I can't speak to durability, but I do know that my other Egyptian towels from Walmart and Overstock.com did not shed and shag like these towels have done. I think it's just a case of ""you get what you pay for"" and in this case, it's NOT MUCH....Won't order again and won't use for guests.",3,"https://images-na.ssl-images-amazon.com/images/I/614be37+2dL.jpg , https://images-na.ssl-images-amazon.com/images/I/6189zDNi4dL.jpg , https://images-na.ssl-images-amazon.com/images/I/61ljsR7L2NL.jpg",-,https://www.amazon.com/gp/customer-reviews/R21AWT74F0GPZ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZEY,Size: 6-Piece Set | Color: Driftwood
"Reviewed in the United States on June 26, 2018",Noah's Ark,yes,yes,"Only 30% Egyptian Cotton and less than 400 GSM in weight. Not worth the price, not quality towels.","This review is for the Wedgewood  blue towel set. The towel color matches the photos but they are  very thin and extremely inferior in texture, and feel. They might be OK for use by Motel 6, but not by any quality hotels.Though they are 100% cotton, their label states they are only 30% Egyptian Cotton. They have a rough texture. Their GSM weight is not stated on the label but the webpage description for the Gray towel states they are 725 GSM. 725 GSM would be very acceptable for a thick luxury-hotel  towel. But these blue towels are so light and thin that they must be less than 450 or even 400 GSM.",1,-,-,https://www.amazon.com/gp/customer-reviews/R1GAYRR1O61SU6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZJ4,Size: 6-Piece Set | Color: Wedgewood
"Reviewed in the United States on June 23, 2018",JLM,yes,yes,"Cheaper, Thinner, than before. Shame.","I bought these Pinzon towels several years ago and needed some new ones. These are nowhere near the quality of the prior version. They are lighter, thinner, and even the label is a cheap plastic label rather than a fabric label. Very disappointed that the quality has been compromised. I don't understand when you have a great product, does every new product manager have to justify their existence by making it cheaper? I mean, yes, you make more money, but isn't the whole point of having a great product is that it remains great? Who are these people who make these decisions to cheapen products. Constant cheapening means we go elsewhere to find someone who makes decent products. Shame.",3,-,-,https://www.amazon.com/gp/customer-reviews/R26I2QK55VTPM3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B01M29N6YR,Size: 4 Bath Towels | Color: Cocoa
"Reviewed in the United States on December 7, 2016",Grandma Zizzy,yes,yes,Really liked these... until the washcloths started getting splotches all over them!,"2/3/17 update:  For our whole adult lives, both my husband and I have had to pinch pennies, so we're hardly what you'd call ""towel snobs""... we had our two sets of ""good towels"" which were used only for company (and to dry off our grandkids during sleepovers - they're the most important ""company"" in our lives!), and then there were the towels we ourselves use... and have been using for eons!  But this year, I decided to splurge a bit in that area for my hard-working, blue collar hubby, googled ""Egyptian cotton towels"" (since I'd heard Egyptian cotton was the creme de la creme, with its longer, more dense threads/thread loops that pull moisture away from your body while trapping the warmth of that moisture at the same time) and this set of Pinzon towels popped up.  Seemed a pretty decent price for quality, so I went ahead and ordered a couple of sets for him - he's a big guy, and was thrilled to have these generously sized towels after a long day!  He could not care less about such things, but I loved the border designing.First, I wish I'd done a little more research before making the purchase.  Had NO idea that Amazon had started its own private label lines years ago, including this Pinzon label (bed & bath, table top kitchen tools/accessories, indoor furnishings)!  The others are Strathwood (outdoor furnishings/lighting), Pike Street (a ""value"" line of bed/bath), and Denali (tools/accessories), and apparently they made the move to try to give its customers great value at competitive prices.  I knew the GSM (grams per square meter) number was important when looking at towels (i.e. 300-400 are pretty thin/light weight, 400-600 are considered medium weight/thickness, while 600-900 are the super absorbent, thick and heavy feeling towels that you typically find in upscale hotels or spas.)  Since we don't often (NEVER!) frequent those types of places, I was pretty happy when I saw the 600 GSM number on these towels.  When I went to write my review, I happened to see Pinzon's LUXURY towels - an 820 GSM for not too much more!  Another thing to keep in mind when buying Egyptian towels is to make sure the label doesn't say ""made with"" Egyptian cotton... they also contain standard cotton and sometimes even polyester!  The label should say 100% Egyptian cotton - these do.  And I guess the other thing is that while Egyptian IS the ""cadillac"", Pima cotton is grown in America and creates a towel similar in GSM to Egyptian, and Turkish cotton is also a quality cotton - again, the key with all three (Egyptian, Pima or Turkish) is making sure it says ""100%"".I washed them a couple of times before using to get rid of the chemical smell and - while there was quite a bit of lint the first time around, there wasn't as much the second, and they certainly weren't falling apart as I'd read about in some of the other reviews.  HOWEVER... after my husband began using them, I started noticing white splotches on the wash cloths as I'd also read about in other reviews (though NOT on the hand or bath towels.)  We're now close to 2 months into use, with the wash cloths splotched all over the place but no splotches at all on the hand or bath towels!  As I was folding laundry yesterday and shaking my head over the splotches, it finally hit me.  My husband uses an astringent to clean his face of work grime when he gets home from work, using the wash cloths, so I believe it's one of the ingredients in the astringent that's reacting with the dye in the hand cloth!  Depending upon the type of soap/cleanser or laundry detergent other reviewers are using, I'm betting it could be a similar reaction.  But I'll tell ya - NONE of our old wash cloths reacted this way to his astringent, so whatever dyes they're using in the Pinzon plants much be pretty cheap.  Amazon's attempt to to give its customers ""great value at competitive prices"" should not mean taking shortcuts that don't allow a product to perform under typical usage!",2,-,-,https://www.amazon.com/gp/customer-reviews/R1340AOL53HGYQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZKS,Size: 6-Piece Set | Color: Grey
"Reviewed in the United States on July 2, 2018",Faith,yes,yes,Thin and rough to the touch,"The color is a true depiction, but I donated this entire set to the animal shelter upon arrival.  The label said 100 % Cotton and nothing else. No more details.  I honestly feel that this is a dollar store quality product and could not possibly sustain one cycle in a washer or dryer.  Strangely, I also ordered the aqua at the same time which was by the same brand but more expensive, and there was no contest between the two.  The gray I have to strongly recommend against.  It’s simply cheap and poorly made.  The aqua was absolutely satisfactory and what I was expecting.",1,https://images-na.ssl-images-amazon.com/images/I/81oKTnlCJML.jpg,-,https://www.amazon.com/gp/customer-reviews/RLJFDNHBHYFOP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZKS,Size: 6-Piece Set | Color: Grey
"Reviewed in the United States on April 12, 2016",Anna Harper,yes,yes,"Cheap Disposable Towels, Into The Landfill They Go","This is one of the worst purchase I have ever made here on Amazon. In a word, this product is garbage. It truly is. If I could give this towel set no stars I sure would. I feel like I just flushed my money down the proverbial toilet, but what I am really upset about is the waste of resources. Recycling is very important to me. I guess I can use them for rags or for my own use when I don't have guests around, but not for guest towels like I wanted to.I have bought Pinzon products in the past and enjoyed a certain level of quality. I read the reviews and they were mixed. So, I decided to give them a try, based on my past experiences with the Pinzon name. I thought that maybe they just got one bad towel. I will never buy Pinzon products again.For the cost the thickness and quality of the product appeared to good when I opened the package, little did I know that the towels had hidden issues I wouldn't see until later.These towels are one time use, they are just disposable and will fill a landfill somewhere. After one use and washing they are fading in small areas, turning orange. Clearly they not color fast. You can see the color fading in the photo. I used one set and washed it, every single one had the same issue. And I know that it isn't from leftover bleach from a previous wash or anything like that. I never use bleach, it very harsh on fabrics and shortens the life of  your clothing.",1,https://images-na.ssl-images-amazon.com/images/I/71vEGYNlZoL.jpg,-,https://www.amazon.com/gp/customer-reviews/R289KANGFWP1IU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZKS,Size: 6-Piece Set | Color: Grey
"Reviewed in the United States on March 7, 2018",donna s,yes,yes,Quality,"Changed my mind. While these are absorbant and longer than standard towels....the will not stop pilling even after 6 washings. It looks like it ""snowed"" in my bathroom and hair with each use. Will cut into cleaning rags.",1,-,-,https://www.amazon.com/gp/customer-reviews/R1WMXP0WF7LWES/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B01M71TR2I,Size: 4 Bath Towels | Color: White
"Reviewed in the United States on September 11, 2018",JEK,yes,yes,Poor dye quality???,"I just got this towel set no more than two weeks ago. I swear my hands were clean and all I did was wash it thoroughly with soap before I wiped my hands on the towel, but it continues to change the color permanently to this ugly orange. I washed the towels a couple of times, but it is permanently damaged. It seems to me that the dye is super poor quality. It should not change color when just wiping hands from having washed them with soap. Even if it gets a little bit of soap leftover on it, quality dye would not turn color instantly. Yes, the color turns instantly as you wipe your hands. I am very disappointed since I do personally love the original color tone a lot... just wish it was more quality.",1,https://images-na.ssl-images-amazon.com/images/I/41PyqUz0lRL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2ZSVTBGQ7UVII/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002S52ZFI,B002S52ZKS,Size: 6-Piece Set | Color: Grey
